"Level","Manufacturer P/N","Manufacturer Name","Part Type","Description","Quantity","Designator"
"1","USB-to-FlexRay Adapter"," Embedded Robotic Systems LLP","Boards","USb to Flexray adapter","1",""
"1","MyoArm Assembly","GI","Labour","","32.0",""
"1","FLR09YS-YW","Kromberg & Schubert","Tendon, Rope, Cables","FLR09YS-YW is a FlexRay data cable with a cross-section of 2 x 0.35 mm².","300.0","Flexray cable"
"1","0.5m Myo power cable","GI","Tendon, Rope, Cables","Power cable for the shoulder motors","11",""
"2","Assembly blank cable","GI","Labour","","3",""
"2","PP001078","Pro Power","Tendon, Rope, Cables","Wire, heatresistent, flexible silicone, 0.5 mm², 16 x 0.2mm","0.5",""
"2","PP001077","Pro Power","Tendon, Rope, Cables","Red Wire, heatresistent, flexible silicone, 0.5 mm², 16 x 0.2mm","0.5",""
"1","Myo Upper Arm Power Cable","GI","Tendon, Rope, Cables","Power cable for the upper arm items","4",""
"2","PP001077","Pro Power","Tendon, Rope, Cables","Red Wire, heatresistent, flexible silicone, 0.5 mm², 16 x 0.2mm","1.0",""
"2","PP001078","Pro Power","Tendon, Rope, Cables","Wire, heatresistent, flexible silicone, 0.5 mm², 16 x 0.2mm","1.0",""
"1","Myo Lower Arm Power Cable","GI","Tendon, Rope, Cables","Power cable for the lower arm items","2",""
"2","PP001077","Pro Power","Tendon, Rope, Cables","Red Wire, heatresistent, flexible silicone, 0.5 mm², 16 x 0.2mm","1.5",""
"2","PP001078","Pro Power","Tendon, Rope, Cables","Wire, heatresistent, flexible silicone, 0.5 mm², 16 x 0.2mm","1.5",""
"1","Myo Muscle Control Cable","GI","Tendon, Rope, Cables","SPI cable to control the Myomuscles","13",""
"2","Assembly Displacement S. Cable","GI","Labour","","0.1",""
"2","SH3-SH3-28300","JST","Tendon, Rope, Cables","Cable, crimped, 300mm  for JST SH series","5",""
"2","SHR-05V-S-B","JST","Tendon, Rope, Cables","Male plug, 5 -polig, 1 mm","2",""
"1","Tendon Dyneema Spectra Fishing Line","Herkules Pro","Tendon, Rope, Cables","Tendon","5.5",""
"1","Myo Clamping Ring Set","GI","Accessories","Ring that binds 2 flanges together","4",""
"2","A11 clamping half ring mod","Shapeways ","MyoCAD","Clamp ring to hold the two flange plates together.","2",""
"2","1018-066","Wegertseder GmbH - Schrauben Shop","Screws, Bolts and Rods","Zylinderstift 3x8","4",""
"2","2534-288","Wegertseder GmbH - Schrauben Shop","Screws, Bolts and Rods","Zylinderkopfschraube M3x18","2",""
"2","852 000 030.800","Kerb Konus","Nuts, rings, inserts","Brass Insert M3","2",""
